product_id,product_name,tags,category_name,description
1,Essence Mascara Lash Princess,"[""beauty"", ""mascara""]",Beauty,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.
2,Eyeshadow Palette with Mirror,"[""beauty"", ""eyeshadow""]",Beauty,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application."
3,Powder Canister,"[""beauty"", ""face powder""]",Beauty,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish."
4,Red Lipstick,"[""beauty"", ""lipstick""]",Beauty,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish."
5,Red Nail Polish,"[""beauty"", ""nail polish""]",Beauty,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home."
6,Calvin Klein CK One,"[""fragrances"", ""perfumes""]",Fragrances,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear."
7,Chanel Coco Noir Eau De,"[""fragrances"", ""perfumes""]",Fragrances,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions."
8,"Dior J'adore","[""fragrances"", ""perfumes""]",Fragrances,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication."
9,Dolce Shine Eau de,"[""fragrances"", ""perfumes""]",Fragrances,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent."
10,Gucci Bloom Eau de,"[""fragrances"", ""perfumes""]",Fragrances,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent."
11,Annibale Colombo Bed,"[""furniture"", ""beds""]",Furniture,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom."
12,Annibale Colombo Sofa,"[""furniture"", ""sofas""]",Furniture,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room."
13,Bedside Table African Cherry,"[""furniture"", ""bedside tables""]",Furniture,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance."
14,Knoll Saarinen Executive Conference Chair,"[""furniture"", ""office chairs""]",Furniture,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design."
15,Wooden Bathroom Sink With Mirror,"[""furniture"", ""bathroom""]",Furniture,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror."
16,Apple,"[""fruits""]",Groceries,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes."
17,Beef Steak,"[""meat""]",Groceries,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness."
18,Cat Food,"[""pet supplies"", ""cat food""]",Groceries,Nutritious cat food formulated to meet the dietary needs of your feline friend.
19,Chicken Meat,"[""meat""]",Groceries,"Fresh and tender chicken meat, suitable for various culinary preparations."
20,Cooking Oil,"[""cooking essentials""]",Groceries,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications."
21,Cucumber,"[""vegetables""]",Groceries,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side."
22,Dog Food,"[""pet supplies"", ""dog food""]",Groceries,Specially formulated dog food designed to provide essential nutrients for your canine companion.
23,Eggs,"[""dairy""]",Groceries,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast."
24,Fish Steak,"[""seafood""]",Groceries,"Quality fish steak, suitable for grilling, baking, or pan-searing."
25,Green Bell Pepper,"[""vegetables""]",Groceries,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes."
26,Green Chili Pepper,"[""vegetables""]",Groceries,"Spicy green chili pepper, ideal for adding heat to your favorite recipes."
27,Honey Jar,"[""condiments""]",Groceries,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food."
28,Ice Cream,"[""desserts""]",Groceries,"Creamy and delicious ice cream, available in various flavors for a delightful treat."
29,Juice,"[""beverages""]",Groceries,"Refreshing fruit juice, packed with vitamins and great for staying hydrated."
30,Kiwi,"[""fruits""]",Groceries,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes."
31,Lemon,"[""fruits""]",Groceries,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages."
32,Milk,"[""dairy""]",Groceries,"Fresh and nutritious milk, a staple for various recipes and daily consumption."
33,Mulberry,"[""fruits""]",Groceries,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals."
34,Nescafe Coffee,"[""beverages"", ""coffee""]",Groceries,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup."
35,Potatoes,"[""vegetables""]",Groceries,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish."
36,Protein Powder,"[""health supplements""]",Groceries,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins."
37,Red Onions,"[""vegetables""]",Groceries,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes."
38,Rice,"[""grains""]",Groceries,"High-quality rice, a staple for various cuisines and a versatile base for many dishes."
39,Soft Drinks,"[""beverages""]",Groceries,"Assorted soft drinks in various flavors, perfect for refreshing beverages."
40,Strawberry,"[""fruits""]",Groceries,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies."
41,Tissue Paper Box,"[""household essentials""]",Groceries,"Convenient tissue paper box for everyday use, providing soft and absorbent tissues."
42,Water,"[""beverages""]",Groceries,"Pure and refreshing bottled water, essential for staying hydrated throughout the day."
43,Decoration Swing,"[""home decor"", ""swing""]",Home decoration,"The Decoration Swing is a charming addition to your home decor. Crafted with intricate details, it adds a touch of elegance and whimsy to any room."
44,Family Tree Photo Frame,"[""home decor"", ""photo frame""]",Home decoration,"The Family Tree Photo Frame is a sentimental and stylish way to display your cherished family memories. With multiple photo slots, it tells the story of your loved ones."
45,House Showpiece Plant,"[""home decor"", ""artificial plants""]",Home decoration,The House Showpiece Plant is an artificial plant that brings a touch of nature to your home without the need for maintenance. It adds greenery and style to any space.
46,Plant Pot,"[""home decor"", ""plant accessories""]",Home decoration,"The Plant Pot is a stylish container for your favorite plants. With a sleek design, it complements your indoor or outdoor garden, adding a modern touch to your plant display."
47,Table Lamp,"[""home decor"", ""lighting""]",Home decoration,"The Table Lamp is a functional and decorative lighting solution for your living space. With a modern design, it provides both ambient and task lighting, enhancing the atmosphere."
48,Bamboo Spatula,"[""kitchen tools"", ""utensils""]",Kitchen accessories,"The Bamboo Spatula is a versatile kitchen tool made from eco-friendly bamboo. Ideal for flipping, stirring, and serving various dishes."
49,Black Aluminium Cup,"[""drinkware"", ""cups""]",Kitchen accessories,The Black Aluminium Cup is a stylish and durable cup suitable for both hot and cold beverages. Its sleek black design adds a modern touch to your drinkware collection.
50,Black Whisk,"[""kitchen tools"", ""utensils""]",Kitchen accessories,The Black Whisk is a kitchen essential for whisking and beating ingredients. Its ergonomic handle and sleek design make it a practical and stylish tool.
51,Boxed Blender,"[""kitchen appliances"", ""blenders""]",Kitchen accessories,"The Boxed Blender is a powerful and compact blender perfect for smoothies, shakes, and more. Its convenient design and multiple functions make it a versatile kitchen appliance."
52,Carbon Steel Wok,"[""cookware"", ""woks""]",Kitchen accessories,"The Carbon Steel Wok is a versatile cooking pan suitable for stir-frying, sautéing, and deep frying. Its sturdy construction ensures even heat distribution for delicious meals."
53,Chopping Board,"[""kitchen tools"", ""cutting boards""]",Kitchen accessories,"The Chopping Board is an essential kitchen accessory for food preparation. Made from durable material, it provides a safe and hygienic surface for cutting and chopping."
54,Citrus Squeezer Yellow,"[""kitchen tools"", ""juicers""]",Kitchen accessories,The Citrus Squeezer in Yellow is a handy tool for extracting juice from citrus fruits. Its vibrant color adds a cheerful touch to your kitchen gadgets.
55,Egg Slicer,"[""kitchen tools"", ""slicers""]",Kitchen accessories,"The Egg Slicer is a convenient tool for slicing boiled eggs evenly. It's perfect for salads, sandwiches, and other dishes where sliced eggs are desired."
56,Electric Stove,"[""kitchen appliances"", ""cooktops""]",Kitchen accessories,The Electric Stove provides a portable and efficient cooking solution. Ideal for small kitchens or as an additional cooking surface for various culinary needs.
57,Fine Mesh Strainer,"[""kitchen tools"", ""strainers""]",Kitchen accessories,The Fine Mesh Strainer is a versatile tool for straining liquids and sifting dry ingredients. Its fine mesh ensures efficient filtering for smooth cooking and baking.
58,Fork,"[""kitchen tools"", ""utensils""]",Kitchen accessories,The Fork is a classic utensil for various dining and serving purposes. Its durable and ergonomic design makes it a reliable choice for everyday use.
59,Glass,"[""drinkware"", ""glasses""]",Kitchen accessories,The Glass is a versatile and elegant drinking vessel suitable for a variety of beverages. Its clear design allows you to enjoy the colors and textures of your drinks.
60,Grater Black,"[""kitchen tools"", ""graters""]",Kitchen accessories,"The Grater in Black is a handy kitchen tool for grating cheese, vegetables, and more. Its sleek design and sharp blades make food preparation efficient and easy."
61,Hand Blender,"[""kitchen appliances"", ""blenders""]",Kitchen accessories,"The Hand Blender is a versatile kitchen appliance for blending, pureeing, and mixing. Its compact design and powerful motor make it a convenient tool for various recipes."
62,Ice Cube Tray,"[""kitchen tools"", ""ice cube trays""]",Kitchen accessories,The Ice Cube Tray is a practical accessory for making ice cubes in various shapes. Perfect for keeping your drinks cool and adding a fun element to your beverages.
63,Kitchen Sieve,"[""kitchen tools"", ""strainers""]",Kitchen accessories,The Kitchen Sieve is a versatile tool for sifting and straining dry and wet ingredients. Its fine mesh design ensures smooth results in your cooking and baking.
64,Knife,"[""kitchen tools"", ""cutlery""]",Kitchen accessories,"The Knife is an essential kitchen tool for chopping, slicing, and dicing. Its sharp blade and ergonomic handle make it a reliable choice for food preparation."
65,Lunch Box,"[""kitchen tools"", ""storage""]",Kitchen accessories,"The Lunch Box is a convenient and portable container for packing and carrying your meals. With compartments for different foods, it's perfect for on-the-go dining."
66,Microwave Oven,"[""kitchen appliances"", ""microwaves""]",Kitchen accessories,"The Microwave Oven is a versatile kitchen appliance for quick and efficient cooking, reheating, and defrosting. Its compact size makes it suitable for various kitchen setups."
67,Mug Tree Stand,"[""kitchen tools"", ""organization""]",Kitchen accessories,The Mug Tree Stand is a stylish and space-saving solution for organizing your mugs. Keep your favorite mugs easily accessible and neatly displayed in your kitchen.
68,Pan,"[""cookware"", ""pans""]",Kitchen accessories,"The Pan is a versatile and essential cookware item for frying, sautéing, and cooking various dishes. Its non-stick coating ensures easy food release and cleanup."
69,Plate,"[""dinnerware"", ""plates""]",Kitchen accessories,The Plate is a classic and essential dishware item for serving meals. Its durable and stylish design makes it suitable for everyday use or special occasions.
70,Red Tongs,"[""kitchen tools"", ""tongs""]",Kitchen accessories,The Red Tongs are versatile kitchen tongs suitable for various cooking and serving tasks. Their vibrant color adds a pop of excitement to your kitchen utensils.
71,Silver Pot With Glass Cap,"[""cookware"", ""pots""]",Kitchen accessories,"The Silver Pot with Glass Cap is a stylish and functional cookware item for boiling, simmering, and preparing delicious meals. Its glass cap allows you to monitor cooking progress."
72,Slotted Turner,"[""kitchen tools"", ""turners""]",Kitchen accessories,"The Slotted Turner is a kitchen utensil designed for flipping and turning food items. Its slotted design allows excess liquid to drain, making it ideal for frying and sautéing."
73,Spice Rack,"[""kitchen tools"", ""organization""]",Kitchen accessories,The Spice Rack is a convenient organizer for your spices and seasonings. Keep your kitchen essentials within reach and neatly arranged with this stylish spice rack.
74,Spoon,"[""kitchen tools"", ""utensils""]",Kitchen accessories,"The Spoon is a versatile kitchen utensil for stirring, serving, and tasting. Its ergonomic design and durable construction make it an essential tool for every kitchen."
75,Tray,"[""serveware"", ""trays""]",Kitchen accessories,"The Tray is a functional and decorative item for serving snacks, appetizers, or drinks. Its stylish design makes it a versatile accessory for entertaining guests."
76,Wooden Rolling Pin,"[""kitchen tools"", ""baking""]",Kitchen accessories,The Wooden Rolling Pin is a classic kitchen tool for rolling out dough for baking. Its smooth surface and sturdy handles make it easy to achieve uniform thickness.
77,Yellow Peeler,"[""kitchen tools"", ""peelers""]",Kitchen accessories,The Yellow Peeler is a handy tool for peeling fruits and vegetables with ease. Its bright yellow color adds a cheerful touch to your kitchen gadgets.
78,Apple MacBook Pro 14 Inch Space Grey,"[""laptops"", ""apple""]",Laptops,"The MacBook Pro 14 Inch in Space Grey is a powerful and sleek laptop, featuring Apple's M1 Pro chip for exceptional performance and a stunning Retina display."
79,Asus Zenbook Pro Dual Screen Laptop,"[""laptops""]",Laptops,"The Asus Zenbook Pro Dual Screen Laptop is a high-performance device with dual screens, providing productivity and versatility for creative professionals."
80,Huawei Matebook X Pro,"[""laptops""]",Laptops,"The Huawei Matebook X Pro is a slim and stylish laptop with a high-resolution touchscreen display, offering a premium experience for users on the go."
81,Lenovo Yoga 920,"[""laptops""]",Laptops,"The Lenovo Yoga 920 is a 2-in-1 convertible laptop with a flexible hinge, allowing you to use it as a laptop or tablet, offering versatility and portability."
82,New DELL XPS 13 9300 Laptop,"[""laptops""]",Laptops,"The New DELL XPS 13 9300 Laptop is a compact and powerful device, featuring a virtually borderless InfinityEdge display and high-end performance for various tasks."
83,Blue & Black Check Shirt,"[""clothing"", ""men's shirts""]",Mens shirts,"The Blue & Black Check Shirt is a stylish and comfortable men's shirt featuring a classic check pattern. Made from high-quality fabric, it's suitable for both casual and semi-formal occasions."
84,Gigabyte Aorus Men Tshirt,"[""clothing"", ""men's t-shirts""]",Mens shirts,"The Gigabyte Aorus Men Tshirt is a cool and casual shirt for gaming enthusiasts. With the Aorus logo and sleek design, it's perfect for expressing your gaming style."
85,Man Plaid Shirt,"[""clothing"", ""men's shirts""]",Mens shirts,"The Man Plaid Shirt is a timeless and versatile men's shirt with a classic plaid pattern. Its comfortable fit and casual style make it a wardrobe essential for various occasions."
86,Man Short Sleeve Shirt,"[""clothing"", ""men's shirts""]",Mens shirts,"The Man Short Sleeve Shirt is a breezy and stylish option for warm days. With a comfortable fit and short sleeves, it's perfect for a laid-back yet polished look."
87,Men Check Shirt,"[""clothing"", ""men's shirts""]",Mens shirts,"The Men Check Shirt is a classic and versatile shirt featuring a stylish check pattern. Suitable for various occasions, it adds a smart and polished touch to your wardrobe."
88,Nike Air Jordan 1 Red And Black,"[""footwear"", ""athletic shoes""]",Mens shoes,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes."
89,Nike Baseball Cleats,"[""footwear"", ""sports cleats""]",Mens shoes,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.
90,Puma Future Rider Trainers,"[""footwear"", ""casual shoes""]",Mens shoes,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use."
91,Sports Sneakers Off White & Red,"[""footwear"", ""athletic shoes""]",Mens shoes,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch."
92,Sports Sneakers Off White Red,"[""footwear"", ""casual shoes""]",Mens shoes,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions."
93,Brown Leather Belt Watch,"[""watches"", ""leather watches""]",Mens watches,"The Brown Leather Belt Watch is a stylish timepiece with a classic design. Featuring a genuine leather strap and a sleek dial, it adds a touch of sophistication to your look."
94,Longines Master Collection,"[""watches"", ""luxury watches""]",Mens watches,"The Longines Master Collection is an elegant and refined watch known for its precision and craftsmanship. With a timeless design, it's a symbol of luxury and sophistication."
95,Rolex Cellini Date Black Dial,"[""watches"", ""luxury watches""]",Mens watches,"The Rolex Cellini Date with Black Dial is a classic and prestigious watch. With a black dial and date complication, it exudes sophistication and is a symbol of Rolex's heritage."
96,Rolex Cellini Moonphase,"[""watches"", ""luxury watches""]",Mens watches,"The Rolex Cellini Moonphase is a masterpiece of horology, featuring a moon phase complication and exquisite design. It reflects Rolex's commitment to precision and elegance."
97,Rolex Datejust,"[""watches"", ""luxury watches""]",Mens watches,"The Rolex Datejust is an iconic and versatile timepiece with a date window. Known for its timeless design and reliability, it's a symbol of Rolex's watchmaking excellence."
98,Rolex Submariner Watch,"[""watches"", ""luxury watches""]",Mens watches,"The Rolex Submariner is a legendary dive watch with a rich history. Known for its durability and water resistance, it's a symbol of adventure and exploration."
99,Amazon Echo Plus,"[""electronics"", ""smart speakers""]",Mobile accessories,The Amazon Echo Plus is a smart speaker with built-in Alexa voice control. It features premium sound quality and serves as a hub for controlling smart home devices.
100,Apple Airpods,"[""electronics"", ""wireless earphones""]",Mobile accessories,"The Apple Airpods offer a seamless wireless audio experience. With easy pairing, high-quality sound, and Siri integration, they are perfect for on-the-go listening."
101,Apple AirPods Max Silver,"[""electronics"", ""over-ear headphones""]",Mobile accessories,"The Apple AirPods Max in Silver are premium over-ear headphones with high-fidelity audio, adaptive EQ, and active noise cancellation. Experience immersive sound in style."
102,Apple Airpower Wireless Charger,"[""electronics"", ""wireless chargers""]",Mobile accessories,The Apple AirPower Wireless Charger provides a convenient way to charge your compatible Apple devices wirelessly. Simply place your devices on the charging mat for effortless charging.
103,Apple HomePod Mini Cosmic Grey,"[""electronics"", ""smart speakers""]",Mobile accessories,The Apple HomePod Mini in Cosmic Grey is a compact smart speaker that delivers impressive audio and integrates seamlessly with the Apple ecosystem for a smart home experience.
104,Apple iPhone Charger,"[""electronics"", ""chargers""]",Mobile accessories,The Apple iPhone Charger is a high-quality charger designed for fast and efficient charging of your iPhone. Ensure your device stays powered up and ready to go.
